assay,chrom,w_mono,w_triso,mu_A,mu_R,mu_T,target_div,pop_id
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49123
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49124
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49125
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49126
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49127
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49128
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49129
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49130
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49131
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49132
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49133
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49134
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49135
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49136
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49137
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49138
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49139
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49140
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49141
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49142
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49143
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49144
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49145
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49146
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49147
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49148
a982,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.000774263682681127,7690000.0,p49149
a983,12,0.3379,0.1291549665014884,2.66e-05,4.76e-05,0.002154434690031882,7690000.0,p49150
