assay,n_rep,monosome_fitness,monosome_rate,revert_rate,n_gen
a1047,36,0.001,2.1544346900318822e-06,0.004641588833612773,24
a1048,36,0.001,2.1544346900318822e-06,0.021544346900318822,24
a1049,36,0.001,2.1544346900318822e-06,0.1,24
a1050,36,0.001,4.641588833612773e-06,1e-07,23
a1051,36,0.001,4.641588833612773e-06,4.641588833612782e-07,23
a1052,36,0.001,4.641588833612773e-06,2.1544346900318822e-06,23
a1053,36,0.001,4.641588833612773e-06,9.999999999999999e-06,23
a1054,36,0.001,4.641588833612773e-06,4.641588833612772e-05,23
a1055,36,0.001,4.641588833612773e-06,0.00021544346900318823,23
a1056,36,0.001,4.641588833612773e-06,0.001,23
a1057,36,0.001,4.641588833612773e-06,0.004641588833612773,23
a1058,36,0.001,4.641588833612773e-06,0.021544346900318822,23
a1059,36,0.001,4.641588833612773e-06,0.1,23
a1060,36,0.001,9.999999999999999e-06,1e-07,21
a1061,36,0.001,9.999999999999999e-06,4.641588833612782e-07,21
a1062,36,0.001,9.999999999999999e-06,2.1544346900318822e-06,21
a1063,36,0.001,9.999999999999999e-06,9.999999999999999e-06,21
a1064,36,0.001,9.999999999999999e-06,4.641588833612772e-05,21
a1065,36,0.001,9.999999999999999e-06,0.00021544346900318823,21
a1066,36,0.001,9.999999999999999e-06,0.001,21
a1067,36,0.001,9.999999999999999e-06,0.004641588833612773,21
a1068,36,0.001,9.999999999999999e-06,0.021544346900318822,21
a1069,36,0.001,9.999999999999999e-06,0.1,21
a1070,36,0.001,2.1544346900318823e-05,1e-07,20
a1071,36,0.001,2.1544346900318823e-05,4.641588833612782e-07,20
a1072,36,0.001,2.1544346900318823e-05,2.1544346900318822e-06,20
a1073,36,0.001,2.1544346900318823e-05,9.999999999999999e-06,20
a1074,36,0.001,2.1544346900318823e-05,4.641588833612772e-05,20
a1075,36,0.001,2.1544346900318823e-05,0.00021544346900318823,20
a1076,36,0.001,2.1544346900318823e-05,0.001,20
a1077,36,0.001,2.1544346900318823e-05,0.004641588833612773,20
a1078,36,0.001,2.1544346900318823e-05,0.021544346900318822,20
a1079,36,0.001,2.1544346900318823e-05,0.1,20
a1080,36,0.001,4.641588833612772e-05,1e-07,19
a1081,36,0.001,4.641588833612772e-05,4.641588833612782e-07,19
a1082,36,0.001,4.641588833612772e-05,2.1544346900318822e-06,19
a1083,36,0.001,4.641588833612772e-05,9.999999999999999e-06,19
a1084,36,0.001,4.641588833612772e-05,4.641588833612772e-05,19
a1085,36,0.001,4.641588833612772e-05,0.00021544346900318823,19
a1086,36,0.001,4.641588833612772e-05,0.001,19
a1087,36,0.001,4.641588833612772e-05,0.004641588833612773,19
a1088,36,0.001,4.641588833612772e-05,0.021544346900318822,19
a1089,36,0.001,4.641588833612772e-05,0.1,19
a1090,36,0.001,0.0001,1e-07,18
a1091,36,0.001,0.0001,4.641588833612782e-07,18
a1092,36,0.001,0.0001,2.1544346900318822e-06,18
a1093,36,0.001,0.0001,9.999999999999999e-06,18
a1094,36,0.001,0.0001,4.641588833612772e-05,18
a1095,36,0.001,0.0001,0.00021544346900318823,18
a1096,36,0.001,0.0001,0.001,18
a1097,36,0.001,0.0001,0.004641588833612773,18
a1098,36,0.001,0.0001,0.021544346900318822,18
a1099,36,0.001,0.0001,0.1,18
a1100,36,0.007071067776566521,1e-07,1e-07,25
a1101,36,0.007071067776566521,1e-07,4.641588833612782e-07,25
a1102,36,0.007071067776566521,1e-07,2.1544346900318822e-06,25
a1103,36,0.007071067776566521,1e-07,9.999999999999999e-06,25
a1104,36,0.007071067776566521,1e-07,4.641588833612772e-05,25
a1105,36,0.007071067776566521,1e-07,0.00021544346900318823,25
a1106,36,0.007071067776566521,1e-07,0.001,25
a1107,36,0.007071067776566521,1e-07,0.004641588833612773,25
a1108,36,0.007071067776566521,1e-07,0.021544346900318822,25
a1109,36,0.007071067776566521,1e-07,0.1,25
a1110,36,0.007071067776566521,2.1544346900318822e-07,1e-07,25
a1111,36,0.007071067776566521,2.1544346900318822e-07,4.641588833612782e-07,25
a1112,36,0.007071067776566521,2.1544346900318822e-07,2.1544346900318822e-06,25
