assay,rep,monosome_fitness,monosome_rate,revert_rate,n_gen,pop_id
a1005,5,0.001,1e-07,0.00021544346900318823,25,p36185
a1005,6,0.001,1e-07,0.00021544346900318823,25,p36186
a1005,7,0.001,1e-07,0.00021544346900318823,25,p36187
a1005,8,0.001,1e-07,0.00021544346900318823,25,p36188
a1005,9,0.001,1e-07,0.00021544346900318823,25,p36189
a1005,10,0.001,1e-07,0.00021544346900318823,25,p36190
a1005,11,0.001,1e-07,0.00021544346900318823,25,p36191
a1005,12,0.001,1e-07,0.00021544346900318823,25,p36192
a1005,13,0.001,1e-07,0.00021544346900318823,25,p36193
a1005,14,0.001,1e-07,0.00021544346900318823,25,p36194
a1005,15,0.001,1e-07,0.00021544346900318823,25,p36195
a1005,16,0.001,1e-07,0.00021544346900318823,25,p36196
a1005,17,0.001,1e-07,0.00021544346900318823,25,p36197
a1005,18,0.001,1e-07,0.00021544346900318823,25,p36198
a1005,19,0.001,1e-07,0.00021544346900318823,25,p36199
a1005,20,0.001,1e-07,0.00021544346900318823,25,p36200
a1005,21,0.001,1e-07,0.00021544346900318823,25,p36201
a1005,22,0.001,1e-07,0.00021544346900318823,25,p36202
a1005,23,0.001,1e-07,0.00021544346900318823,25,p36203
a1005,24,0.001,1e-07,0.00021544346900318823,25,p36204
a1005,25,0.001,1e-07,0.00021544346900318823,25,p36205
a1005,26,0.001,1e-07,0.00021544346900318823,25,p36206
a1005,27,0.001,1e-07,0.00021544346900318823,25,p36207
a1005,28,0.001,1e-07,0.00021544346900318823,25,p36208
a1005,29,0.001,1e-07,0.00021544346900318823,25,p36209
a1005,30,0.001,1e-07,0.00021544346900318823,25,p36210
a1005,31,0.001,1e-07,0.00021544346900318823,25,p36211
a1005,32,0.001,1e-07,0.00021544346900318823,25,p36212
a1005,33,0.001,1e-07,0.00021544346900318823,25,p36213
a1005,34,0.001,1e-07,0.00021544346900318823,25,p36214
a1005,35,0.001,1e-07,0.00021544346900318823,25,p36215
a1006,0,0.001,1e-07,0.001,25,p36216
a1006,1,0.001,1e-07,0.001,25,p36217
a1006,2,0.001,1e-07,0.001,25,p36218
a1006,3,0.001,1e-07,0.001,25,p36219
a1006,4,0.001,1e-07,0.001,25,p36220
a1006,5,0.001,1e-07,0.001,25,p36221
a1006,6,0.001,1e-07,0.001,25,p36222
a1006,7,0.001,1e-07,0.001,25,p36223
a1006,8,0.001,1e-07,0.001,25,p36224
a1006,9,0.001,1e-07,0.001,25,p36225
a1006,10,0.001,1e-07,0.001,25,p36226
a1006,11,0.001,1e-07,0.001,25,p36227
a1006,12,0.001,1e-07,0.001,25,p36228
a1006,13,0.001,1e-07,0.001,25,p36229
a1006,14,0.001,1e-07,0.001,25,p36230
a1006,15,0.001,1e-07,0.001,25,p36231
a1006,16,0.001,1e-07,0.001,25,p36232
a1006,17,0.001,1e-07,0.001,25,p36233
a1006,18,0.001,1e-07,0.001,25,p36234
a1006,19,0.001,1e-07,0.001,25,p36235
a1006,20,0.001,1e-07,0.001,25,p36236
a1006,21,0.001,1e-07,0.001,25,p36237
a1006,22,0.001,1e-07,0.001,25,p36238
a1006,23,0.001,1e-07,0.001,25,p36239
a1006,24,0.001,1e-07,0.001,25,p36240
a1006,25,0.001,1e-07,0.001,25,p36241
a1006,26,0.001,1e-07,0.001,25,p36242
a1006,27,0.001,1e-07,0.001,25,p36243
a1006,28,0.001,1e-07,0.001,25,p36244
a1006,29,0.001,1e-07,0.001,25,p36245
a1006,30,0.001,1e-07,0.001,25,p36246
a1006,31,0.001,1e-07,0.001,25,p36247
a1006,32,0.001,1e-07,0.001,25,p36248
a1006,33,0.001,1e-07,0.001,25,p36249
